sld,label,family,split,pred,proba
virtual-history,0,benign,test,1,0.565
blog66various,0,benign,test,1,0.874
quantumreverse,0,benign,test,1,0.858
eurovision-spain,0,benign,test,1,0.879
notyourmothers,0,benign,test,1,0.796
americanpressinstitute,0,benign,test,1,0.763
divxatope,0,benign,test,1,0.654
artificialintelligenceact,0,benign,test,1,0.848
absenkusjp,0,benign,test,1,0.57
crankwheel,0,benign,test,1,0.763
typgfhb,0,benign,test,1,0.604
fishroad-game,0,benign,test,1,0.681
adobe-identity,0,benign,test,1,0.817
yyw3glk6,0,benign,test,1,0.581
ylutagproductpromotion,0,benign,test,1,0.544
nordnorskdebatt,0,benign,test,1,0.744
bike-parts-honda,0,benign,test,1,0.562
cassino-pin-up-bet,0,benign,test,1,0.844
lequotidiendumedecin,0,benign,test,1,0.627
cpbangladesh,0,benign,test,1,0.55
appleexpress,0,benign,test,1,0.727
mein-reifen-outlet,0,benign,test,1,0.629
outsidersstore,0,benign,test,1,0.762
growthedge,0,benign,test,1,0.54
clearlyfiltered,0,benign,test,1,0.867
veteransforpeace,0,benign,test,1,0.989
growthundercontrol,0,benign,test,1,0.943
le-code-dekra,0,benign,test,1,0.819
aquariumbcn,0,benign,test,1,0.813
games-for-smart,0,benign,test,1,0.641
